District,Constituency,Constituency Category,Candidate,Gender,Candidate Category,Age,Party,Votes,Position
BELGAUM ,Nippani,GEN,JOLLE SHASHIKALA ANNASAHEB,F,GEN,43,BJP,81860,1
BELGAUM ,Nippani,GEN,KAKASO PANDURANG PATIL,M,GEN,57,INC,63198,2
BELGAUM ,Nippani,GEN,SUJIT DINAKAR MHETRI,M,SC,28,BSP,1771,3
BELGAUM ,Nippani,GEN,DR. CHANDRAKANT BASHETTI KURABETTI,M,GEN,63,IND,1545,4
BELGAUM ,Nippani,GEN,RAMACHANDRA APPANNA PUJARI,M,GEN,65,IND,1232,5
BELGAUM ,Nippani,GEN,BABASAHEB BALAGOUDA DESAI,M,GEN,56,IND,894,6
BELGAUM ,Nippani,GEN,PATIL LAKHAMAGOUD  YALAGONDA,M,GEN,48,JD(S),805,7
BELGAUM ,Nippani,GEN,PATHAN NIYAZ,M,GEN,26,KJP,691,8
BELGAUM ,Nippani,GEN,SUNDAR BABASAHEB PATIL,M,GEN,42,BSRCP,258,9
BELGAUM ,Nippani,GEN,JITENDRA SUBHASH NERLE,M,GEN,38,IND,192,10
BELGAUM ,Nippani,GEN,JAYAVANT  MIRAJAKAR,M,GEN,52,IND,132,11
BELGAUM ,Nippani,GEN,JAY ALIAS JAYAVANT SATAPPA CHOUGULE,M,GEN,36,IND,112,12
BELGAUM ,Chikkodi-Sadalga,GEN,GANESH PRAKASH HUKKERI,M,,,INC,94636,1
BELGAUM ,Chikkodi-Sadalga,GEN,KAVATAGIMATH MAHANTESH MALLIKARJUN,M,,,BJP,62816,2
BELGAUM ,Chikkodi-Sadalga,GEN,APPASAHEB SHRIPATI KURANE,M,,,Sarva Janata Party,1009,3
BELGAUM ,Chikkodi-Sadalga,GEN,NOTA,M,,,,953,4
BELGAUM ,Chikkodi-Sadalga,GEN,SANTOSH YASHAWANT RAYJADHAV,M,,,IND,441,5
BELGAUM ,Chikkodi-Sadalga,GEN,MOHAN GURAPPA MOTANNAVAR,M,,,IND,298,6
BELGAUM ,Chikkodi-Sadalga,GEN,SACHIN K ALAGURE,M,,,IND,295,7
BELGAUM ,Chikkodi-Sadalga,GEN,BHIMAGOUDA S KHOT,M,,,JD(U),162,8
BELGAUM ,Chikkodi-Sadalga,GEN,B VENKATESHA,M,,,Karunaadu Party,142,9
BELGAUM ,Chikkodi-Sadalga,GEN,JITENDRA SUBHASH NERLE,M,,,IND,130,10
BELGAUM ,Athani,GEN,LAXMAN SANGAPPA SAVADI,M,GEN,53,BJP,74299,1
BELGAUM ,Athani,GEN,MAHESH IRANAGOUDA KUMATHALLI,M,GEN,51,INC,50528,2
BELGAUM ,Athani,GEN,SADASHIV KEDARI BUTALI,M,GEN,58,JD(S),15204,3
BELGAUM ,Athani,GEN,SANGANAGOUD GURUPADAGOUD PATIL,M,GEN,61,KJP,1580,4
