District,Constituency,Constituency Category,Candidate,Gender,Candidate Category,Age,Party,Votes,Winner,Winning Party,Lost By Votes,Lost By (percentage)
Adilabad,Sirpur,GEN,KAVETI SAMMAIAH,M,GEN,57,TRS,40196,KONERU KONAPPA,BSP,8837,18.02255624
Adilabad,Chennur ,SC,GADDAM VINOD,M,SC,57,INC,38703,NALLALA ODELU,TRS,26164,40.33483898
Adilabad,Bellampalli,SC,GUNDA MALLESH,M,SC,67,CPI,21251,DURGAM CHINNAIAH,TRS,52528,71.1964109
Adilabad,Mancherial,GEN,GADDAM ARAVINDA REDDY,M,GEN,57,INC,35921,DIWAKAR RAO NADIPELLI,TRS,59250,62.25635961
Adilabad,Asifabad ,ST,ATRAM SAKKU,M,ST,42,INC,40039,KOVA LAXMI,TRS,19055,32.2452364
Adilabad,Khanapur ,ST,RATHOD RITESH,M,ST,29,TDP,28931,AJMEERA REKHA,TRS,38511,57.1023991
Adilabad,Adilabad,GEN,PAYAL SHANKER,M,GEN,42,BJP,43994,JOGU RAMANNA,TRS,14711,25.05919428
Adilabad,Boath ,ST,JADHAV ANIL KUMAR,M,ST,41,INC,35877,RATHOD BAPURAO,TRS,26993,42.93462701
Adilabad,Nirmal,GEN,KUCHADI SRIHARIRAO,M,GEN,53,TRS,52871,ALLOLLA INDRA KARAN REDDY,BSP,8497,13.84597836
Adilabad,Mudhole,GEN,DR. PADAKANTI RAMADEVI,F,GEN,52,BJP,48485,GADDIGARI VITTAL REDDY,INC,14837,23.43103503
Nizamabad,Armur,GEN,K.R.SURESH REDDY,M,GEN,54,INC,53591,ASHANNAGARI JEEVAN REDDY,TRS,13964,20.67056473
Nizamabad,Bodhan,GEN,SUDARSHAN REDDY PODDUTURI,M,GEN,64,INC,51543,SHAKIL,TRS,15884,23.55732867
Nizamabad,Jukkal ,SC,GANGARAM S,M,SC,62,INC,37394,HANMANTH SHINDE,TRS,35507,48.70577907
Nizamabad,Banswada,GEN,BALARAJU KASULA,M,GEN,52,INC,41938,SRINIVAS REDDY PARIGE,TRS,23930,36.33023623
Nizamabad,Yellareddy,GEN,JAJALA SURENDER,M,GEN,41,INC,46751,EANUGU RAVINDER REDDY,TRS,24009,33.93018655
Nizamabad,Kamareddy,GEN,MOHD ALI SHABBIR,M,GEN,57,INC,63278,GAMPA GOVARDHAN,TRS,8683,12.06625811
Nizamabad,Nizamabad (Urban),GEN,MIR MAJAZ ALI SHAIK,M,GEN,45,AIMIM,31840,BIGALA GANESH,TRS,10308,24.45667647
