District,Constituency,Constituency Category,Candidate,Gender,Candidate Category,Age,Party,Votes,POSITION
Adilabad,Sirpur,GEN,KONERU KONAPPA,M,GEN,58,BSP,49033,1
Adilabad,Sirpur,GEN,KAVETI SAMMAIAH,M,GEN,57,TRS,40196,2
Adilabad,Sirpur,GEN,KOKKIRALA PREM SAGAR RAO,M,GEN,50,INC,26955,3
Adilabad,Sirpur,GEN,RAAVI SRINIVAS RAO,M,GEN,40,TDP,19359,4
Adilabad,Sirpur,GEN,M.D RAZI HYDER.,M,GEN,59,MaSP,4675,5
Adilabad,Sirpur,GEN,MOHAMMAD JABBAR KHAN.,M,GEN,50,IND,3769,6
Adilabad,Sirpur,GEN,None of the Above,NULL,NULL,NULL,NOTA,1756,7
Adilabad,Sirpur,GEN,DURGAM. SHYAM RAO,M,SC,57,IND,1614,8
Adilabad,Sirpur,GEN,MURALI KRISHNA.R.,M,GEN,38,IND,1263,9
Adilabad,Sirpur,GEN,M.RAMCHANDER,M,SC,54,IND,933,10
Adilabad,Sirpur,GEN,LENDUGURE MENGAJI PATEL,M,GEN,62,BCUF,923,11
Adilabad,Sirpur,GEN,SHABBIR HUSSAIN,M,GEN,38,YSRCP,812,12
Adilabad,Chennur ,SC,NALLALA ODELU,M,SC,50,TRS,64867,1
Adilabad,Chennur ,SC,GADDAM VINOD,M,SC,57,INC,38703,2
Adilabad,Chennur ,SC,RAM VENU,M,SC,39,BJP,7879,3
Adilabad,Chennur ,SC,SOGALA SANJEEV,M,SC,34,RP(K),5711,4
Adilabad,Chennur ,SC,None of the Above,NULL,NULL,NULL,NOTA,1616,5
Adilabad,Chennur ,SC,THUNGAPINDI RAMESH,M,SC,34,BSP,1607,6
Adilabad,Chennur ,SC,SEGGAM RAJESHWAR,M,SC,44,IND,1415,7
Adilabad,Chennur ,SC,MEDAPAKA SATHISH,M,SC,29,IND,1069,8
Adilabad,Chennur ,SC,THOGARI BANESH,M,SC,39,IND,1064,9
Adilabad,Chennur ,SC,MEKALA PRAMEELA,F,SC,47,YSRCP,843,10
Adilabad,Chennur ,SC,ANDUGULA SRINIVAS,M,SC,42,IND,571,11
Adilabad,Chennur ,SC,MOYYA RAMBABU,M,SC,45,IND,568,12
Adilabad,Chennur ,SC,RODDA MOHAN,M,SC,33,AAAP,536,13
Adilabad,Chennur ,SC,ELPULA SRINIVAS,M,SC,37,RLD,500,14
Adilabad,Chennur ,SC,RAMAGIRI VIKRAM SINGH,M,SC,27,NIP,404,15
Adilabad,Chennur ,SC,BIRUDULA PRADEEP,M,SC,29,IND,368,16
Adilabad,Bellampalli,SC,DURGAM CHINNAIAH,M,SC,43,TRS,73779,1
